"Method","Bias","MAD","MSE","MAPE","RSFE","Tracking_Signal"
"AdditiveDecomp",-0.0203275327014274,2.09873890766816,8.23343154284495,2.07156245569792,-2.7442169146927,-1.30755517261635
"MultiplicativeDecomp",0.027294056621864,2.25196863684488,9.23579333463326,2.21879372642945,3.68469764395162,1.63621179427884
"RegressionDummies",2.10531180965956e-16,2.65146225169331,12.127969081394,2.57687597220913,1.4210854715202e-14,5.35962927857129e-15
"SeasonalIndices",0.176689179677969,2.73804153911643,12.9968949272625,2.64531531908427,23.8530392565259,8.7117156243814
"MA_3",-0.0505761167689791,5.0934803071364,53.7980439689663,5.00046170927577,-6.72662353027424,-1.32063405071964
"LinearTrend",-4.21062361931911e-16,6.83015136995928,86.6575702549169,6.86595367763868,-2.8421709430404e-14,-4.16121223248577e-15
"Holt",0.239654925521118,7.09814918679156,92.1645629446987,7.13845306618185,32.3534149453511,4.55800717820291
"SES",2.07593139835084,7.4504882966139,99.4374963935712,7.38857035053139,280.250738777364,37.6150834173825
"WMA_3",0.52123856135577,7.36820480192229,94.1503231566273,7.46003946039601,69.3247286603173,9.40863215993009
"Naive",0.434846421197386,8.47621445757406,169.940274589059,8.47527390060191,58.2694204404497,6.87446273712224
